HistoricCandle(open=Quotation(units=2, nano=602000000), high=Quotation(units=2, nano=602000000), low=Quotation(units=2, nano=579000000), close=Quotation(units=2, nano=601000000), volume=82, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=579000000), high=Quotation(units=2, nano=579000000), low=Quotation(units=2, nano=579000000), close=Quotation(units=2, nano=579000000), volume=30, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=601000000), high=Quotation(units=2, nano=601000000), low=Quotation(units=2, nano=601000000), close=Quotation(units=2, nano=601000000), volume=25, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=604000000), high=Quotation(units=2, nano=604000000), low=Quotation(units=2, nano=604000000), close=Quotation(units=2, nano=604000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=604000000), high=Quotation(units=2, nano=604000000), low=Quotation(units=2, nano=604000000), close=Quotation(units=2, nano=604000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=604000000), high=Quotation(units=2, nano=604000000), low=Quotation(units=2, nano=604000000), close=Quotation(units=2, nano=604000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=605000000), high=Quotation(units=2, nano=605000000), low=Quotation(units=2, nano=605000000), close=Quotation(units=2, nano=605000000), volume=11, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=583000000), high=Quotation(units=2, nano=583000000), low=Quotation(units=2, nano=583000000), close=Quotation(units=2, nano=583000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=605000000), high=Quotation(units=2, nano=605000000), low=Quotation(units=2, nano=605000000), close=Quotation(units=2, nano=605000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=605000000), high=Quotation(units=2, nano=605000000), low=Quotation(units=2, nano=583000000), close=Quotation(units=2, nano=583000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=605000000), high=Quotation(units=2, nano=605000000), low=Quotation(units=2, nano=583000000), close=Quotation(units=2, nano=605000000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=584000000), high=Quotation(units=2, nano=584000000), low=Quotation(units=2, nano=584000000), close=Quotation(units=2, nano=584000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=610000000), high=Quotation(units=2, nano=610000000), low=Quotation(units=2, nano=610000000), close=Quotation(units=2, nano=610000000), volume=123, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=592000000), high=Quotation(units=2, nano=619000000), low=Quotation(units=2, nano=592000000), close=Quotation(units=2, nano=597000000), volume=109, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=618000000), high=Quotation(units=2, nano=618000000), low=Quotation(units=2, nano=596000000), close=Quotation(units=2, nano=596000000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=618000000), high=Quotation(units=2, nano=618000000), low=Quotation(units=2, nano=596000000), close=Quotation(units=2, nano=596000000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=618000000), high=Quotation(units=2, nano=618000000), low=Quotation(units=2, nano=618000000), close=Quotation(units=2, nano=618000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=618000000), high=Quotation(units=2, nano=618000000), low=Quotation(units=2, nano=596000000), close=Quotation(units=2, nano=596000000), volume=11, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=620000000), high=Quotation(units=2, nano=620000000), low=Quotation(units=2, nano=620000000), close=Quotation(units=2, nano=620000000), volume=38, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=621000000), high=Quotation(units=2, nano=621000000), low=Quotation(units=2, nano=599000000), close=Quotation(units=2, nano=620000000), volume=14, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
