HistoricCandle(open=Quotation(units=590, nano=300000000), high=Quotation(units=590, nano=300000000), low=Quotation(units=590, nano=300000000), close=Quotation(units=590, nano=300000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=590, nano=400000000), close=Quotation(units=590, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=590, nano=400000000), close=Quotation(units=590, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=590, nano=400000000), close=Quotation(units=590, nano=400000000), volume=12, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=585, nano=600000000), close=Quotation(units=585, nano=600000000), volume=7, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=585, nano=600000000), high=Quotation(units=585, nano=600000000), low=Quotation(units=585, nano=600000000), close=Quotation(units=585, nano=600000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=590, nano=400000000), close=Quotation(units=590, nano=400000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=585, nano=600000000), close=Quotation(units=585, nano=600000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=590, nano=400000000), close=Quotation(units=590, nano=400000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=585, nano=600000000), high=Quotation(units=585, nano=600000000), low=Quotation(units=585, nano=600000000), close=Quotation(units=585, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=590, nano=400000000), high=Quotation(units=590, nano=400000000), low=Quotation(units=590, nano=400000000), close=Quotation(units=590, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
