HistoricCandle(open=Quotation(units=18, nano=545000000), high=Quotation(units=18, nano=694000000), low=Quotation(units=18, nano=545000000), close=Quotation(units=18, nano=694000000), volume=9, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=543000000), high=Quotation(units=18, nano=693000000), low=Quotation(units=18, nano=541000000), close=Quotation(units=18, nano=541000000), volume=13, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=690000000), high=Quotation(units=18, nano=690000000), low=Quotation(units=18, nano=538000000), close=Quotation(units=18, nano=538000000), volume=11, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=687000000), high=Quotation(units=18, nano=687000000), low=Quotation(units=18, nano=535000000), close=Quotation(units=18, nano=535000000), volume=11, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=685000000), high=Quotation(units=18, nano=685000000), low=Quotation(units=18, nano=685000000), close=Quotation(units=18, nano=685000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=687000000), high=Quotation(units=18, nano=687000000), low=Quotation(units=18, nano=535000000), close=Quotation(units=18, nano=535000000), volume=11, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=685000000), high=Quotation(units=18, nano=687000000), low=Quotation(units=18, nano=536000000), close=Quotation(units=18, nano=536000000), volume=16, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=686000000), high=Quotation(units=18, nano=687000000), low=Quotation(units=18, nano=535000000), close=Quotation(units=18, nano=535000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=684000000), high=Quotation(units=18, nano=684000000), low=Quotation(units=18, nano=531000000), close=Quotation(units=18, nano=531000000), volume=12, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=682000000), high=Quotation(units=18, nano=682000000), low=Quotation(units=18, nano=531000000), close=Quotation(units=18, nano=679000000), volume=18, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=680000000), high=Quotation(units=18, nano=680000000), low=Quotation(units=18, nano=680000000), close=Quotation(units=18, nano=680000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=528000000), high=Quotation(units=18, nano=528000000), low=Quotation(units=18, nano=528000000), close=Quotation(units=18, nano=528000000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=525000000), high=Quotation(units=18, nano=525000000), low=Quotation(units=18, nano=525000000), close=Quotation(units=18, nano=525000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=521000000), high=Quotation(units=18, nano=668000000), low=Quotation(units=18, nano=521000000), close=Quotation(units=18, nano=668000000), volume=21, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=512000000), high=Quotation(units=18, nano=659000000), low=Quotation(units=18, nano=512000000), close=Quotation(units=18, nano=659000000), volume=36, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=500000000), high=Quotation(units=18, nano=500000000), low=Quotation(units=18, nano=486000000), close=Quotation(units=18, nano=486000000), volume=75, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=633000000), high=Quotation(units=18, nano=633000000), low=Quotation(units=18, nano=475000000), close=Quotation(units=18, nano=475000000), volume=55, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=466000000), high=Quotation(units=18, nano=615000000), low=Quotation(units=18, nano=465000000), close=Quotation(units=18, nano=465000000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=614000000), high=Quotation(units=18, nano=614000000), low=Quotation(units=18, nano=614000000), close=Quotation(units=18, nano=614000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=464000000), high=Quotation(units=18, nano=464000000), low=Quotation(units=18, nano=464000000), close=Quotation(units=18, nano=464000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=616000000), high=Quotation(units=18, nano=619000000), low=Quotation(units=18, nano=616000000), close=Quotation(units=18, nano=619000000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=623000000), high=Quotation(units=18, nano=623000000), low=Quotation(units=18, nano=476000000), close=Quotation(units=18, nano=476000000), volume=24, time=datetime.datetime(2023, 9, 2, 12, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=625000000), high=Quotation(units=18, nano=625000000), low=Quotation(units=18, nano=625000000), close=Quotation(units=18, nano=625000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=645000000), high=Quotation(units=18, nano=645000000), low=Quotation(units=18, nano=645000000), close=Quotation(units=18, nano=645000000), volume=108, time=datetime.datetime(2023, 9, 2, 12, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=514000000), high=Quotation(units=18, nano=624000000), low=Quotation(units=18, nano=514000000), close=Quotation(units=18, nano=624000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=650000000), high=Quotation(units=18, nano=650000000), low=Quotation(units=18, nano=650000000), close=Quotation(units=18, nano=650000000), volume=135, time=datetime.datetime(2023, 9, 2, 12, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=675000000), high=Quotation(units=18, nano=675000000), low=Quotation(units=18, nano=675000000), close=Quotation(units=18, nano=675000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=676000000), high=Quotation(units=18, nano=676000000), low=Quotation(units=18, nano=522000000), close=Quotation(units=18, nano=522000000), volume=21, time=datetime.datetime(2023, 9, 2, 12, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=669000000), high=Quotation(units=18, nano=672000000), low=Quotation(units=18, nano=669000000), close=Quotation(units=18, nano=672000000), volume=13, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=675000000), high=Quotation(units=18, nano=675000000), low=Quotation(units=18, nano=675000000), close=Quotation(units=18, nano=675000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=516000000), high=Quotation(units=18, nano=659000000), low=Quotation(units=18, nano=507000000), close=Quotation(units=18, nano=507000000), volume=77, time=datetime.datetime(2023, 9, 2, 12, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=494000000), high=Quotation(units=18, nano=636000000), low=Quotation(units=18, nano=494000000), close=Quotation(units=18, nano=636000000), volume=53, time=datetime.datetime(2023, 9, 2, 12, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=486000000), high=Quotation(units=18, nano=636000000), low=Quotation(units=18, nano=486000000), close=Quotation(units=18, nano=636000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=637000000), high=Quotation(units=18, nano=637000000), low=Quotation(units=18, nano=637000000), close=Quotation(units=18, nano=637000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=639000000), high=Quotation(units=18, nano=644000000), low=Quotation(units=18, nano=639000000), close=Quotation(units=18, nano=644000000), volume=25, time=datetime.datetime(2023, 9, 2, 12, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=647000000), high=Quotation(units=18, nano=647000000), low=Quotation(units=18, nano=647000000), close=Quotation(units=18, nano=647000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=651000000), high=Quotation(units=18, nano=651000000), low=Quotation(units=18, nano=651000000), close=Quotation(units=18, nano=651000000), volume=16, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=654000000), high=Quotation(units=18, nano=654000000), low=Quotation(units=18, nano=504000000), close=Quotation(units=18, nano=504000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=654000000), high=Quotation(units=18, nano=654000000), low=Quotation(units=18, nano=654000000), close=Quotation(units=18, nano=654000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=655000000), high=Quotation(units=18, nano=655000000), low=Quotation(units=18, nano=492000000), close=Quotation(units=18, nano=492000000), volume=61, time=datetime.datetime(2023, 9, 2, 12, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=634000000), high=Quotation(units=18, nano=634000000), low=Quotation(units=18, nano=634000000), close=Quotation(units=18, nano=634000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=636000000), high=Quotation(units=18, nano=637000000), low=Quotation(units=18, nano=636000000), close=Quotation(units=18, nano=637000000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=638000000), high=Quotation(units=18, nano=638000000), low=Quotation(units=18, nano=638000000), close=Quotation(units=18, nano=638000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=640000000), high=Quotation(units=18, nano=641000000), low=Quotation(units=18, nano=640000000), close=Quotation(units=18, nano=641000000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 41, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=642000000), high=Quotation(units=18, nano=642000000), low=Quotation(units=18, nano=642000000), close=Quotation(units=18, nano=642000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 43, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=642000000), high=Quotation(units=18, nano=642000000), low=Quotation(units=18, nano=492000000), close=Quotation(units=18, nano=492000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 44, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=642000000), high=Quotation(units=18, nano=642000000), low=Quotation(units=18, nano=488000000), close=Quotation(units=18, nano=488000000), volume=26, time=datetime.datetime(2023, 9, 2, 12, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=633000000), high=Quotation(units=18, nano=633000000), low=Quotation(units=18, nano=484000000), close=Quotation(units=18, nano=484000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=633000000), high=Quotation(units=18, nano=633000000), low=Quotation(units=18, nano=633000000), close=Quotation(units=18, nano=633000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=482000000), high=Quotation(units=18, nano=630000000), low=Quotation(units=18, nano=480000000), close=Quotation(units=18, nano=630000000), volume=13, time=datetime.datetime(2023, 9, 2, 12, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=468000000), high=Quotation(units=18, nano=468000000), low=Quotation(units=18, nano=468000000), close=Quotation(units=18, nano=468000000), volume=68, time=datetime.datetime(2023, 9, 2, 12, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=453000000), high=Quotation(units=18, nano=600000000), low=Quotation(units=18, nano=453000000), close=Quotation(units=18, nano=600000000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=602000000), high=Quotation(units=18, nano=602000000), low=Quotation(units=18, nano=602000000), close=Quotation(units=18, nano=602000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=605000000), high=Quotation(units=18, nano=605000000), low=Quotation(units=18, nano=605000000), close=Quotation(units=18, nano=605000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=605000000), high=Quotation(units=18, nano=605000000), low=Quotation(units=18, nano=605000000), close=Quotation(units=18, nano=605000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=606000000), high=Quotation(units=18, nano=606000000), low=Quotation(units=18, nano=606000000), close=Quotation(units=18, nano=606000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=450000000), high=Quotation(units=18, nano=450000000), low=Quotation(units=18, nano=450000000), close=Quotation(units=18, nano=450000000), volume=38, time=datetime.datetime(2023, 9, 2, 13, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=593000000), high=Quotation(units=18, nano=593000000), low=Quotation(units=18, nano=593000000), close=Quotation(units=18, nano=593000000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=594000000), high=Quotation(units=18, nano=594000000), low=Quotation(units=18, nano=594000000), close=Quotation(units=18, nano=594000000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=594000000), high=Quotation(units=18, nano=595000000), low=Quotation(units=18, nano=594000000), close=Quotation(units=18, nano=595000000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=445000000), high=Quotation(units=18, nano=595000000), low=Quotation(units=18, nano=445000000), close=Quotation(units=18, nano=595000000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=445000000), high=Quotation(units=18, nano=445000000), low=Quotation(units=18, nano=445000000), close=Quotation(units=18, nano=445000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=595000000), high=Quotation(units=18, nano=596000000), low=Quotation(units=18, nano=595000000), close=Quotation(units=18, nano=596000000), volume=7, time=datetime.datetime(2023, 9, 2, 13, 18, tzinfo=datetime.timezone.utc), is_complete=True)
