HistoricCandle(open=Quotation(units=16756, nano=0), high=Quotation(units=16756, nano=0), low=Quotation(units=16756, nano=0), close=Quotation(units=16756, nano=0), volume=4, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16722, nano=0), high=Quotation(units=16722, nano=0), low=Quotation(units=16722, nano=0), close=Quotation(units=16722, nano=0), volume=19, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16834, nano=0), high=Quotation(units=16834, nano=0), low=Quotation(units=16834, nano=0), close=Quotation(units=16834, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16850, nano=0), high=Quotation(units=16850, nano=0), low=Quotation(units=16850, nano=0), close=Quotation(units=16850, nano=0), volume=9, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16864, nano=0), high=Quotation(units=16864, nano=0), low=Quotation(units=16864, nano=0), close=Quotation(units=16864, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16868, nano=0), high=Quotation(units=16868, nano=0), low=Quotation(units=16728, nano=0), close=Quotation(units=16728, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16726, nano=0), high=Quotation(units=16726, nano=0), low=Quotation(units=16726, nano=0), close=Quotation(units=16726, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16722, nano=0), high=Quotation(units=16722, nano=0), low=Quotation(units=16722, nano=0), close=Quotation(units=16722, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16716, nano=0), high=Quotation(units=16716, nano=0), low=Quotation(units=16716, nano=0), close=Quotation(units=16716, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 12, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16852, nano=0), high=Quotation(units=16852, nano=0), low=Quotation(units=16852, nano=0), close=Quotation(units=16852, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16714, nano=0), high=Quotation(units=16714, nano=0), low=Quotation(units=16714, nano=0), close=Quotation(units=16714, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16852, nano=0), high=Quotation(units=16852, nano=0), low=Quotation(units=16852, nano=0), close=Quotation(units=16852, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 27, tzinfo=datetime.timezone.utc), is_complete=True)
