HistoricCandle(open=Quotation(units=19426, nano=0), high=Quotation(units=19486, nano=0), low=Quotation(units=19426, nano=0), close=Quotation(units=19486, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19460, nano=0), high=Quotation(units=19492, nano=0), low=Quotation(units=19458, nano=0), close=Quotation(units=19492, nano=0), volume=51, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19450, nano=0), high=Quotation(units=19482, nano=0), low=Quotation(units=19380, nano=0), close=Quotation(units=19380, nano=0), volume=78, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19444, nano=0), high=Quotation(units=19452, nano=0), low=Quotation(units=19400, nano=0), close=Quotation(units=19400, nano=0), volume=5, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19406, nano=0), high=Quotation(units=19406, nano=0), low=Quotation(units=19406, nano=0), close=Quotation(units=19406, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19400, nano=0), high=Quotation(units=19400, nano=0), low=Quotation(units=19400, nano=0), close=Quotation(units=19400, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19400, nano=0), high=Quotation(units=19400, nano=0), low=Quotation(units=19400, nano=0), close=Quotation(units=19400, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19384, nano=0), high=Quotation(units=19384, nano=0), low=Quotation(units=19380, nano=0), close=Quotation(units=19380, nano=0), volume=5, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19374, nano=0), high=Quotation(units=19400, nano=0), low=Quotation(units=19374, nano=0), close=Quotation(units=19400, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19400, nano=0), high=Quotation(units=19406, nano=0), low=Quotation(units=19394, nano=0), close=Quotation(units=19394, nano=0), volume=13, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19394, nano=0), high=Quotation(units=19394, nano=0), low=Quotation(units=19394, nano=0), close=Quotation(units=19394, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19404, nano=0), high=Quotation(units=19406, nano=0), low=Quotation(units=19404, nano=0), close=Quotation(units=19406, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19404, nano=0), high=Quotation(units=19404, nano=0), low=Quotation(units=19392, nano=0), close=Quotation(units=19392, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19382, nano=0), high=Quotation(units=19382, nano=0), low=Quotation(units=19364, nano=0), close=Quotation(units=19364, nano=0), volume=25, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19366, nano=0), high=Quotation(units=19404, nano=0), low=Quotation(units=19366, nano=0), close=Quotation(units=19404, nano=0), volume=28, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19404, nano=0), high=Quotation(units=19404, nano=0), low=Quotation(units=19404, nano=0), close=Quotation(units=19404, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19406, nano=0), high=Quotation(units=19406, nano=0), low=Quotation(units=19406, nano=0), close=Quotation(units=19406, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19406, nano=0), high=Quotation(units=19406, nano=0), low=Quotation(units=19406, nano=0), close=Quotation(units=19406, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19404, nano=0), high=Quotation(units=19420, nano=0), low=Quotation(units=19404, nano=0), close=Quotation(units=19420, nano=0), volume=12, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19408, nano=0), high=Quotation(units=19408, nano=0), low=Quotation(units=19408, nano=0), close=Quotation(units=19408, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19438, nano=0), high=Quotation(units=19438, nano=0), low=Quotation(units=19434, nano=0), close=Quotation(units=19434, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19436, nano=0), high=Quotation(units=19436, nano=0), low=Quotation(units=19436, nano=0), close=Quotation(units=19436, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19432, nano=0), high=Quotation(units=19438, nano=0), low=Quotation(units=19432, nano=0), close=Quotation(units=19438, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19436, nano=0), high=Quotation(units=19436, nano=0), low=Quotation(units=19436, nano=0), close=Quotation(units=19436, nano=0), volume=5, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19408, nano=0), high=Quotation(units=19408, nano=0), low=Quotation(units=19408, nano=0), close=Quotation(units=19408, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19408, nano=0), high=Quotation(units=19408, nano=0), low=Quotation(units=19408, nano=0), close=Quotation(units=19408, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19436, nano=0), high=Quotation(units=19438, nano=0), low=Quotation(units=19436, nano=0), close=Quotation(units=19438, nano=0), volume=104, time=datetime.datetime(2023, 9, 4, 7, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=19440, nano=0), high=Quotation(units=19450, nano=0), low=Quotation(units=19440, nano=0), close=Quotation(units=19450, nano=0), volume=5, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
