HistoricCandle(open=Quotation(units=6808, nano=0), high=Quotation(units=6808, nano=0), low=Quotation(units=6807, nano=500000000), close=Quotation(units=6807, nano=500000000), volume=6, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6806, nano=500000000), high=Quotation(units=6860, nano=500000000), low=Quotation(units=6805, nano=0), close=Quotation(units=6860, nano=500000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6861, nano=0), high=Quotation(units=6861, nano=500000000), low=Quotation(units=6861, nano=0), close=Quotation(units=6861, nano=500000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6863, nano=0), high=Quotation(units=6863, nano=0), low=Quotation(units=6863, nano=0), close=Quotation(units=6863, nano=0), volume=11, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6808, nano=500000000), high=Quotation(units=6863, nano=500000000), low=Quotation(units=6808, nano=500000000), close=Quotation(units=6863, nano=500000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6864, nano=0), high=Quotation(units=6864, nano=0), low=Quotation(units=6808, nano=0), close=Quotation(units=6808, nano=0), volume=5, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6807, nano=500000000), high=Quotation(units=6807, nano=500000000), low=Quotation(units=6807, nano=500000000), close=Quotation(units=6807, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6863, nano=500000000), high=Quotation(units=6863, nano=500000000), low=Quotation(units=6863, nano=500000000), close=Quotation(units=6863, nano=500000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6865, nano=500000000), high=Quotation(units=6865, nano=500000000), low=Quotation(units=6865, nano=500000000), close=Quotation(units=6865, nano=500000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6811, nano=0), high=Quotation(units=6866, nano=500000000), low=Quotation(units=6811, nano=0), close=Quotation(units=6866, nano=500000000), volume=7, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6811, nano=500000000), high=Quotation(units=6811, nano=500000000), low=Quotation(units=6809, nano=500000000), close=Quotation(units=6809, nano=500000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6865, nano=0), high=Quotation(units=6865, nano=0), low=Quotation(units=6865, nano=0), close=Quotation(units=6865, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6808, nano=500000000), high=Quotation(units=6862, nano=500000000), low=Quotation(units=6804, nano=500000000), close=Quotation(units=6860, nano=500000000), volume=23, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
